昌平沙河 沙河精品公寓 1室0厅 整租， 昌平沙河高教园城铁站西侧400米,http://bj.58.com/pinpaigongyu/31305934443831x.shtml?psid=106852525197209350604428363,700,'116.277067','40.172651'
昌平北七家 宏福 主卧 3室 朝南，快速公交车3号线,http://bj.58.com/pinpaigongyu/31305430935598x.shtml?psid=106852525197209350604428363,1000,'116.373306','40.119828'
昌平沙河 沙河高教大楼 1室0厅 整租，北沙河东路,http://bj.58.com/pinpaigongyu/31305651482055x.shtml?psid=106852525197209350604428363,1000,'116.276723','40.172415'
昌平沙河 兆丰家园西区 主卧 3室 朝南，高教园南三街,http://bj.58.com/pinpaigongyu/31305571462212x.shtml?psid=106852525197209350604428363,1000,'116.286117','40.157209'
昌平沙河 昌平精品公寓 1室0厅 整租， 昌平沙河高教园城铁站西侧400米,http://bj.58.com/pinpaigongyu/31305905805645x.shtml?psid=106852525197209350604428363,700,'116.277138','40.172623'
昌平沙河 精品公寓 1室0厅 整租， 昌平沙河高教园城铁站西侧400米,http://bj.58.com/pinpaigongyu/31305849811891x.shtml?psid=106852525197209350604428363,700,'116.277246','40.172596'
昌平沙河 沙河精品公寓 1室0厅 整租， 昌平沙河高教园城铁站西侧400米,http://bj.58.com/pinpaigongyu/31305888831178x.shtml?psid=106852525197209350604428363,700,'116.277498','40.172706'
昌平沙河 兆丰家园西区 次卧 3室 朝东，高教园南三街,http://bj.58.com/pinpaigongyu/31305498514127x.shtml?psid=106852525197209350604428363,1000,'116.286117','40.157209'
昌平沙河 精品公寓 1室0厅 整租，地铁昌平线沙河高教园站下车,http://bj.58.com/pinpaigongyu/31305677847617x.shtml?psid=106852525197209350604428363,800,'116.275504','40.172678'
昌平沙河 精品公寓 1室0厅 整租， 昌平沙河高教园城铁站西侧400米,http://bj.58.com/pinpaigongyu/31305867419588x.shtml?psid=106852525197209350604428363,700,'116.277138','40.172623'
昌平沙河 北街家园五区 1室0厅 整租，北沙河西五路,http://bj.58.com/pinpaigongyu/30896978158908x.shtml?psid=106852525197209350604428363,750,'116.27526374','40.1726977925'
朝阳四惠 4室1厅 整租，地铁八通线传媒大学站南200米处,http://bj.58.com/pinpaigongyu/30777323651889x.shtml?psid=106852525197209350604428363,950,'116.562635','39.910571'
昌平沙河 北街家园C区 1室0厅 整租，高教园北一街,http://bj.58.com/pinpaigongyu/30963034681769x.shtml?psid=106852525197209350604428363,800,'116.276623','40.17038'
昌平沙河 北街家园五区 1室0厅 整租，北沙河西五路,http://bj.58.com/pinpaigongyu/30896914830416x.shtml?psid=106852525197209350604428363,800,'116.27526374','40.1726977925'
昌平昌平县城 宜山居 1室0厅 整租，昌金路,http://bj.58.com/pinpaigongyu/30962954058161x.shtml?psid=106852525197209350604428363,800,'116.319391','40.213027'
朝阳四惠 4室1厅 整租，地铁八通线传媒大学站南200米处,http://bj.58.com/pinpaigongyu/30755237138487x.shtml?psid=106852525197209350604428363,950,'116.562635','39.910571'
昌平沙河 北街家园五区 1室0厅 整租，北沙河西五路,http://bj.58.com/pinpaigongyu/30896958777020x.shtml?psid=106852525197209350604428363,750,'116.27526374','40.1726977925'
海淀西二旗 西二旗铭科苑 1室0厅 整租，安宁庄西路29号,http://bj.58.com/pinpaigongyu/31111093585485x.shtml?psid=106852525197209350604428363,800,'116.321761','40.057926'
昌平沙河 北街家园五区 1室0厅 整租，北沙河西五路,http://bj.58.com/pinpaigongyu/30896982786601x.shtml?psid=106852525197209350604428363,750,'116.27526374','40.1726977925'
海淀西二旗 西二旗铭科苑 1室0厅 整租，安宁庄西路29号,http://bj.58.com/pinpaigongyu/30956257616172x.shtml?psid=106852525197209350604428363,800,'116.321761','40.057926'
昌平沙河 精品公寓 1室0厅 整租，地铁昌平线沙河高教园站下车,http://bj.58.com/pinpaigongyu/31305677847617x.shtml?psid=140021313197209381799562055,800,'116.275504','40.172678'
昌平沙河 精品公寓 1室0厅 整租， 昌平沙河高教园城铁站西侧400米,http://bj.58.com/pinpaigongyu/31305867419588x.shtml?psid=140021313197209381799562055,700,'116.277138','40.172623'
大兴黄村 华远和墅雅园 主卧 3室 朝西南，南六环磁各庄桥往南2公里,http://bj.58.com/pinpaigongyu/28788953997101x.shtml?psid=140021313197209381799562055,980,'116.41008','39.709105'
昌平沙河 北街家园五区 1室0厅 整租，北沙河西五路,http://bj.58.com/pinpaigongyu/30897047579337x.shtml?psid=140021313197209381799562055,800,'116.27526374','40.1726977925'
